source,target,value
Ugluk,Art,5
Ugluk,User,8
Ugluk,Prog,6
Ugluk,Graphics,4
Ugluk,HCI,4
Ugluk,UX,2
Uruk,IVIS,5
Uruk,Stats,8
Uruk,Math,7
Uruk,Art,7
Uruk,User,9
Uruk,Prog,9
Uruk,Graphics,8
Uruk,HCI,7
Uruk,UX,7
